era,President,President Label,Education Level,Military Level,Foreign Languages Spoke,Age,Number of Children,Real Education Level,Real Military Level,Real Foreign Languages Spoke,Real Age,RealNumber of Children
Founding Generation Typical,Founding Generation Typical Profile,William Henry Harrison,1.11,2.4,1.25,2.06,1.79,0.67,1.87,3,57.43,5.73
Founding Generation Typical,Founding Generation Typical Profile,John Tyler,1.11,2.4,1.25,2.06,1.79,0.67,1.87,3,57.43,5.73
Founding Generation Typical,Founding Generation Typical Profile,James K. Polk,1.11,2.4,1.25,2.06,1.79,0.67,1.87,3,57.43,5.73
Founding Generation Typical,Founding Generation Typical Profile,Zachary Taylor,1.11,2.4,1.25,2.06,1.79,0.67,1.87,3,57.43,5.73
Founding Generation Typical,Founding Generation Typical Profile,Millard Fillmore,1.11,2.4,1.25,2.06,1.79,0.67,1.87,3,57.43,5.73
Founding Generation Typical,Founding Generation Typical Profile,Franklin Pierce,1.11,2.4,1.25,2.06,1.79,0.67,1.87,3,57.43,5.73
Founding Generation Typical,Founding Generation Typical Profile,James Buchanan,1.11,2.4,1.25,2.06,1.79,0.67,1.87,3,57.43,5.73
Civil War Typical,Civil War Typical Profile,Abraham Lincoln,0.56,3.33,0,1.25,1.35,0.33,2.67,1,51.73,4.33
Civil War Typical,Civil War Typical Profile,Andrew Johnson,0.56,3.33,0,1.25,1.35,0.33,2.67,1,51.73,4.33
Civil War Typical,Civil War Typical Profile,Ulysses S. Grant,0.56,3.33,0,1.25,1.35,0.33,2.67,1,51.73,4.33
Industrial Expansion Typical,Industrial Expansion Typical Profile,Rutherford B. Hayes,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
Industrial Expansion Typical,Industrial Expansion Typical Profile,James A. Garfield,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
Industrial Expansion Typical,Industrial Expansion Typical Profile,Chester A. Arthur,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
Industrial Expansion Typical,Industrial Expansion Typical Profile,Grover Cleveland,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
Industrial Expansion Typical,Industrial Expansion Typical Profile,Benjamin Harrison,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
Industrial Expansion Typical,Industrial Expansion Typical Profile,William McKinley,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
Industrial Expansion Typical,Industrial Expansion Typical Profile,Theodore Roosevelt,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
Industrial Expansion Typical,Industrial Expansion Typical Profile,William Howard Taft,1.25,2.19,1.09,1.37,1.52,0.75,1.88,2.75,52.52,4.88
World Wars Typical,World Wars Typical Profile,Woodrow Wilson,2.33,0.4,0.75,2.09,0.94,1.4,0.4,2.2,57.65,3
World Wars Typical,World Wars Typical Profile,Warren G. Harding,2.33,0.4,0.75,2.09,0.94,1.4,0.4,2.2,57.65,3
World Wars Typical,World Wars Typical Profile,Calvin Coolidge,2.33,0.4,0.75,2.09,0.94,1.4,0.4,2.2,57.65,3
World Wars Typical,World Wars Typical Profile,Herbert Hoover,2.33,0.4,0.75,2.09,0.94,1.4,0.4,2.2,57.65,3
World Wars Typical,World Wars Typical Profile,Franklin D. Roosevelt,2.33,0.4,0.75,2.09,0.94,1.4,0.4,2.2,57.65,3
World Wars Typical,World Wars Typical Profile,Harry S. Truman,2.33,0.4,0.75,2.09,0.94,1.4,0.4,2.2,57.65,3
Cold War Typical,Cold War Typical Profile,Dwight D. Eisenhower,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Cold War Typical,Cold War Typical Profile,John F. Kennedy,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Cold War Typical,Cold War Typical Profile,Lyndon B. Johnson,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Cold War Typical,Cold War Typical Profile,Richard Nixon,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Cold War Typical,Cold War Typical Profile,Gerald Ford,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Cold War Typical,Cold War Typical Profile,Jimmy Carter,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Cold War Typical,Cold War Typical Profile,Ronald Reagan,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Cold War Typical,Cold War Typical Profile,George H. W. Bush,1.67,1.5,0.07,2.05,1.04,1.11,1.78,1.11,57.33,3.33
Modern Day Typical,Modern Day Typical Profile,Bill Clinton,4,0.25,0.38,2.35,0.88,2.4,0.2,1.6,59.44,2.8
Modern Day Typical,Modern Day Typical Profile,George W. Bush,4,0.25,0.38,2.35,0.88,2.4,0.2,1.6,59.44,2.8
Modern Day Typical,Modern Day Typical Profile,Barack Obama,4,0.25,0.38,2.35,0.88,2.4,0.2,1.6,59.44,2.8
Modern Day Typical,Modern Day Typical Profile,Donald Trump,4,0.25,0.38,2.35,0.88,2.4,0.2,1.6,59.44,2.8
Modern Day Typical,Modern Day Typical Profile,Joe Biden,4,0.25,0.38,2.35,0.88,2.4,0.2,1.6,59.44,2.8
