President,Birth State,Death State,University,Highest Degree Held,Religion,Occupation,Military Service,Term,Party,Vice President,Previous Office,has_higher_education,previous_office_group,era,Portrait,Summary
James K. Polk,North Carolina,Tennessee,University of North Carolina at Chapel Hill,Bachelors,Presbyterian,"Lawyer, Plantation Owner",Colonel of Tennessee Militia,1845-1849,Democratic,George Dallas,Governor of Tennessee,TRUE,Governor,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53285r.jpg,"Early in his presidency, James K. Polk declared that he would not seek reelection, thus freeing himself to proceed without an eye to the reaction of the voting public. Polk succeeded in his primary goals: to reduce the tariff, create an independent treasury, settle the long-standing dispute with Britain over the northern Oregon boundary, and expand the nation. In a move towards expansion, Polk tried unsuccessfully to buy territory from Mexico. This refusal set off the Mexican War of 1846, which was won by American forces under the brilliant leadership of General Zachary Taylor. The spoils of war included California and New Mexico, and Polk could claim success in his plan to expand the western border of the United States all the way to the Pacific Ocean."
Zachary Taylor,Virginia,District of Columbia,No University,No Degree,Episcopalian,Soldier,Major General of the U.S. Army,1849-1850,Whig,Millard Fillmore,"Major General, U.S. Army",FALSE,Military Leadership,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c10000/3c10000/3c10067v.jpg,"Zachary Taylor, ""Old Rough and Ready,"" was a veteran of the war of 1812 and two Indian wars of the 1830s, but it was his stunning defeat of General Antonio Lopez de Santa Anna's superior forces in the Mexican War of 1846 that made Taylor a national hero. The truest definition of a ""political outsider,"" when he agreed to run as the Whig party's candidate Taylor had no knowledge of the political process and had never so much as voted in a presidential election! The most pressing issue of Taylor's presidency was the question of extending slavery into the new southwestern territories. Taylor was opposed to having the territories become slave states, yet he was faced with the chasm between the Northern states, which opposed the expansion of slavery, and the Southern states, where the economy rested on the backs of slaves. The Compromise of 1850 was still under debate when Taylor died unexpectedly during his second year in office."
Millard Fillmore,New York,New York,No University,No Degree,Unitarian,Lawyer,"Major of the Union Continentals (Home Guard), New York Militia",1850-1853,Whig,none,Vice President,FALSE,Vice President,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53286r.jpg,"Millard Fillmore was Zachary Taylor's vice president, and so became president in 1850 after Taylor's sudden death. Although he personally opposed slavery, Fillmore signed the Compromise of 1850, which he felt would temporarily pacify both North and South. But the Fugitive Slave Act, a resolution which promised federal support for capturing runaway slaves and allowing slaves to be hunted in anti-slave states, infuriated Northern abolitionists and lost Fillmore any hope of reelection. Two of Fillmore's more positive acts in office were sending Commodore Matthew Parry on a trade mission to Japan in 1853 and allocating federal aid for the construction of railroads."
Franklin Pierce,New Hampshire,New Hampshire,Bowdoin College,Bachelors,Episcopalian,Lawyer,Brigadier General of Volunteers,1853-1857,Democratic,William King,Senator (NH),TRUE,Legislative,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53287r.jpg,"Franklin Pierce tried hard to keep the peace between the North and South, but his support of the Kansas-Nebraska Act of 1854 brought the country one step closer to civil war. The act called for settlers to decide among themselves whether or not to allow slavery in their territories, but the result of the act was a bloody border war between pro and antislavery factions as each side tried to bring in enough supporters to win the vote. Under Pierce's watch, Commodore Perry concluded a treaty with Japan allowing American trade with that country, and the Gadsden Purchase secured the border between the United States and Mexico. But it was for the Kansas-Nebraska Act that Pierce was remembered, and he was not nominated for a second term."
James Buchanan,Pennsylvania,Pennsylvania,Dickinson College,Bachelors,Presbyterian,"Lawyer, Diplomat",Private of the U.S. Army,1857-1861,Democratic,John Breckinridge,Minister to the UK,TRUE,Cabinet,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b42000/3b42400/3b42465v.jpg,"James Buchanan entered the White House at a time when the fight between North and South over slavery was spinning out of control, and both sides ignored his calls for compromise. During Buchanan's presidency, abolitionist John Brown attempted to capture the federal arsenal at Harper's Ferry, Virginia, as a base from which slave rebellions could be mounted. Although Brown was caught and hanged, his raid frightened slave owners--as well as the government. Fearing another action, Buchanan sent federal agents to arrest influential abolitionist Frederick Douglass, a former slave. Douglass eluded arrest by fleeing the country, but he soon returned to continue the fight through public speaking and his antislavery newspaper, the North Star."
Abraham Lincoln,Illinois,District of Columbia,No University,No Degree,Unaffiliated Christian,"Land Surveyor, Lawyer",Captain of State Militia,1861-1865,Republican,"Hannibal Hamlin, Andrew Johnson",Congressman (IL),FALSE,Legislative,Civil War,https://tile.loc.gov/storage-services/service/pnp/ppmsca/19300/19301v.jpg,"Abraham Lincoln was well known for his opposition to the expansion of slavery, and his election as president in 1860 triggered the secession of eleven southern states from the Union to form the Confederate States of America. Lincoln viewed the Southern action as unconstitutional, and he was well aware that a civil war would be a very likely result of any attempt to reunite the country. When Confederate soldiers fired on Fort Sumter in April of 1861, war did break out; resulting in the four bloodiest years the United States has ever seen. In the second year of the raging war, Lincoln issued the Emancipation Proclamation, freeing all slaves in the Confederate states. Eleven months later, Lincoln delivered his most famous speech, the Gettysburg Address, on the site where over 50,000 men had lost their lives in the war's deadliest battle. In 1865, with Confederate resources dwindling and ever more soldiers deserting, the Union army was able to force a surrender at Appommatox court house in Virginia on April 9. Just five days later, Lincoln was shot by actor John Wilkes Booth at Ford's Theater in Washington, D.C. The president died the following morning, throwing the nation into intense mourning. Lincoln had plans for bringing the country back together again, but without his leadership, the country was plunged into confusion that would take many years to resolve."
Andrew Johnson,North Carolina,Tennessee,No University,No Degree,Unaffiliated Christian,Tailor,Brigadier General of Volunteers - Military Governor of Tennessee,1865-1869,National Union,none,Vice President,FALSE,Vice President,Civil War,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53290r.jpg,"Nominated vice president for Lincoln's second term, Andrew Johnson was the only U.S. Senator from the South to stay loyal to the Union. On becoming president after Lincoln's assassination, Johnson worked hard to bring the country together again using Lincoln's policies of leniency towards the defeated Southern states. But the wounds of the war were too fresh, and not everyone was willing to give power back to those who had broken away from the Union. Johnson lost the support of the Republican party when he refused to sign a bill protecting the rights of freed Southern slaves. When he persisted in following Lincoln's plans for reconstruction of the South, Johnson was put on trial by the Senate. In 1868 Johnson became the first president to be impeached; he was spared removal from office by one vote."
Ulysses S. Grant,Ohio,New York,United States Military Academy,Bachelors,Methodist,Soldier (General of the Army),General of the U.S. Army,1869-1877,Republican,"Schuyler Colfax, Henry Wilson",Commanding General of Army,TRUE,Military Leadership,Civil War,https://tile.loc.gov/storage-services/service/pnp/cph/3a00000/3a05000/3a05500/3a05520r.jpg,"Like Zachary Taylor, Ulysses S. Grant was elected to the presidency in honor of his heroic deeds on the battlefield, even though he had absolutely no political background. Not only was Grant lacking in political experience, he also had no particular interest in using the powers of the presidency, and was taken advantage of by dishonest associates. One of Grant's few accomplishments was approval of the Specie Resumption Act, which made it legal to redeem ""greenbacks"" issued during the Civil War for gold or silver coins. However, the country was more likely to remember Grant's administration for the fraud, graft, scandal, and corruption of his second term. Grant was happy to leave office after eight years."
Rutherford B. Hayes,Ohio,Ohio,Harvard Law School,Bachelors,Methodist,Lawyer,Major General of Volunteers,1877-1881,Republican,William Wheeler,Governor of Ohio,TRUE,Governor,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53292r.jpg,"Rutherford B. Hayes had been a Union general in the Civil War, and he won a controversial election by just one electoral vote. His first important act in office was to end Reconstruction by removing the last of the federal troops from the South, which won over his Democratic critics, but alienated many within his own party. Hayes attacked the corrupt patronage system, personally firing future 21st president Chester A. Arthur from a powerful position he had been rewarded with. In 1879, Hayes vetoed Congress's first ban on Chinese immigration."
James A. Garfield,Ohio,New Jersey,Williams College,Bachelors,Disciples of Christ,"School Teacher, Minister, Soldier",Major General of Volunteers,1881,Republican,Chester Arthur,Congressman (OH),TRUE,Legislative,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53293r.jpg,"James A. Garfield was the third Civil War general to become president. In his short time in office, Garfield moved against the patronage system, with plans to reform the civil service system and purge the post office of corruption. But an assassin shot Garfield only four months into his term--he was the second president to be killed in office."
